81d8fa0	Daniel Oliva Bianco	2016-03-30 15:48:17 -0300	Add fix for dates endpoint
233b6d7	Daniel Oliva	2016-03-30 15:16:47 -0300	Merge pull request #30 from devgateway/modeling
0dbbc8f	Daniel Oliva Bianco	2016-03-30 15:12:18 -0300	Add fix for filter locations
b2f0e45	mbertoli	2016-03-30 12:17:02 -0300	Merge pull request #29 from devgateway/filters
3386af6	mbertoli	2016-03-30 12:15:28 -0300	datepicker - partial commit
365baf6	Sebastian Dimunzio	2016-03-29 17:47:27 -0300	added funding layer
b756389	mbertoli	2016-03-29 12:53:07 -0300	restore filter text search from esri-ui branch
0522d4f	Daniel Oliva	2016-03-29 12:32:32 -0300	Merge pull request #28 from devgateway/modeling
ea056b3	Daniel Oliva Bianco	2016-03-29 12:31:08 -0300	Add fix to get not filter for upper adm level
cf8e64a	Sebastian Dimunzio	2016-03-29 11:16:53 -0300	Merge pull request #27 from devgateway/layers_filters
df83454	Sebastian Dimunzio	2016-03-29 11:16:04 -0300	Filters and Layer integration
309612d	Sebastian Dimunzio	2016-03-29 10:43:46 -0300	Merge pull request #26 from devgateway/modeling
15f1dc1	Sebastian Dimunzio	2016-03-29 10:25:02 -0300	Merge pull request #25 from devgateway/layers_filters
af426f1	Sebastian Dimunzio	2016-03-29 10:22:50 -0300	Point layer is now integrated with filters, some util classes were added in order to parse selected filters
00d8ea1	Daniel Oliva Bianco	2016-03-29 09:22:25 -0300	Add missing sql
3a04a87	Daniel Oliva Bianco	2016-03-28 16:12:16 -0300	Merge branch 'master' into modeling
62f3c9b	Daniel Oliva Bianco	2016-03-28 16:11:27 -0300	Check ehcache stats from UI
a821e78	Sebastian Dimunzio	2016-03-28 16:10:02 -0300	Merge pull request #24 from devgateway/leafelt_ui
0a71849	Sebastian Dimunzio	2016-03-28 16:09:52 -0300	Merge pull request #23 from devgateway/modeling
504e82d	Sebastian Dimunzio	2016-03-28 16:09:46 -0300	Merge pull request #22 from devgateway/filters
5c1b3e4	Sebastian Dimunzio	2016-03-28 16:08:14 -0300	fixing staging issues
d7224f7	Daniel Oliva Bianco	2016-03-28 12:53:37 -0300	Add some indicators for stats data
f9cc011	Daniel Oliva Bianco	2016-03-25 10:55:33 -0300	Merge branch 'modeling' of https://github.com/devgateway/geoph into modeling
dc62b9a	Daniel Oliva Bianco	2016-03-25 10:54:28 -0300	GEOPH-36 Funding Organizations - Funding Source Filters (Back End) + Add more projects to the DB
5b3c0b3	Sebastian Dimunzio	2016-03-23 14:30:05 -0300	added sh script in order to load the shapes on the server
60df9f9	Sebastian Dimunzio	2016-03-23 11:24:05 -0300	Merge branch 'leafelt_ui' of https://github.com/devgateway/geoph into leafelt_ui
26e3ea9	Sebastian Dimunzio	2016-03-23 11:23:28 -0300	css + typos fixed
9203116	Daniel Oliva Bianco	2016-03-23 11:17:12 -0300	Add shape sql
4b9b8c6	Daniel Oliva Bianco	2016-03-23 11:09:50 -0300	Shapes sql for region
b372fd4	mbertoli	2016-03-23 10:08:00 -0300	fix missed styles
a1a0836	Daniel Oliva Bianco	2016-03-22 16:35:47 -0300	GEOPH-67 and GEOPH-68: Adding a new endpoint that retrieves geojson region shape info from DB
8463ae1	Sebastian Dimunzio	2016-03-21 17:27:59 -0300	leaflet based ui
6b05fcb	mbertoli	2016-03-18 18:32:28 -0300	filter text search
609d9f2	Sebastian Dimunzio	2016-03-18 16:41:15 -0300	Merge branch 'master' of https://github.com/devgateway/geoph
ace83a2	mbertoli	2016-03-18 16:37:52 -0300	text search - partial
09bdbef	Sebastian Dimunzio	2016-03-18 16:30:25 -0300	Case sensitive related issues fixed
a7d6cc2	Daniel Oliva Bianco	2016-03-18 16:27:41 -0300	Add agencies filters
9551c9f	Sebastian Dimunzio	2016-03-18 15:58:53 -0300	Merge pull request #21 from devgateway/modeling
acdfd14	Sebastian Dimunzio	2016-03-18 15:56:11 -0300	merge issue resolved
db2ef48	Sebastian Dimunzio	2016-03-18 15:53:59 -0300	Merge branch 'master' into modeling
6cfe145	Sebastian Dimunzio	2016-03-18 15:51:09 -0300	fixing main class issues
b830e2a	Daniel Oliva Bianco	2016-03-18 15:33:03 -0300	Save my changes
82c62ae	Sebastian Dimunzio	2016-03-18 15:32:47 -0300	removing component scan
